Epoch,FirstNodeDeathTime
1,284
2,265
3,287
4,289
5,284
6,281
7,262
8,289
9,287
10,288
11,287
12,286
13,286
14,283
15,290
16,279
17,272
18,283
19,289
20,284
21,282
22,289
23,281
24,290
25,263
26,285
27,289
28,288
29,288
30,286
31,281
32,285
33,288
34,287
35,289
36,287
37,285
38,288
39,281
40,279
41,286
42,288
43,283
44,283
45,280
46,287
47,288
48,266
49,286
50,277
51,287
52,289
53,263
54,288
55,280
56,284
57,285
58,278
59,281
60,283
61,284
62,288
63,283
64,283
65,289
66,281
67,273
68,289
69,279
70,289
71,288
72,274
73,283
74,280
75,290
76,288
77,277
78,283
79,289
80,276
81,276
82,288
83,281
84,290
85,265
86,280
87,288
88,283
89,286
90,289
91,276
92,282
93,278
94,289
95,289
96,289
97,270
98,281
99,289
100,260
101,288
102,280
103,287
104,286
105,283
106,282
107,280
108,273
109,287
110,267
111,289
112,282
113,278
114,289
115,290
116,289
117,288
118,287
119,283
120,290
121,287
122,282
123,271
124,289
125,280
126,288
127,285
128,289
129,257
130,290
131,288
132,281
133,287
134,281
135,289
136,287
137,284
138,286
139,287
140,290
141,288
142,278
143,272
144,287
145,278
146,285
147,287
148,286
149,288
150,284
151,285
152,286
153,286
154,281
155,276
156,280
157,278
158,288
159,287
160,282
161,278
162,284
163,275
164,287
165,288
166,280
167,281
168,287
169,287
170,278
171,282
172,264
173,273
174,287
175,288
176,289
177,266
178,288
179,289
180,282
181,283
182,271
183,288
184,289
185,286
186,274
187,280
188,287
189,283
190,281
191,289
192,288
193,286
194,283
195,283
196,289
197,289
198,279
199,281
200,289
201,290
202,289
203,287
204,283
205,284
206,270
207,287
208,284
209,289
210,287
211,288
212,286
213,275
214,290
215,290
216,289
217,259
218,290
219,289
220,273
221,284
222,281
223,288
224,283
225,288
226,287
227,284
228,276
229,282
230,282
231,285
232,284
233,275
234,280
235,271
236,286
237,289
238,290
239,265
240,287
241,286
242,287
243,287
244,289
245,289
246,286
247,281
248,290
249,286
250,288
251,286
252,283
253,285
254,289
255,271
256,277
257,288
258,283
259,284
260,287
261,281
262,286
263,283
264,285
265,285
266,283
267,279
268,289
269,275
270,284
271,290
272,288
273,288
274,286
275,289
276,284
277,290
278,285
279,281
280,283
281,278
282,290
283,286
284,272
285,269
286,287
287,290
288,287
289,285
290,280
291,280
292,286
293,288
294,276
295,284
296,286
297,289
298,270
299,282
300,279
