epoch,first_death_time,final_live_percentage,simulation_duration,total_transmissions,energy_efficiency,method
91,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
92,1463,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
93,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
94,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
95,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
96,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
97,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
98,1515,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
99,1456,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
100,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
101,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
102,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
103,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
104,1524,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
105,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
106,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
107,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
108,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
109,1462,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
110,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
111,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
112,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
113,1460,10.0,3000,0,1.0,DQL_Enhanced_RLBEEP
114,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
115,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
116,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
117,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
118,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
119,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
120,1511,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
121,1513,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
122,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
123,1507,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
124,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
125,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
126,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
127,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
128,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
129,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
130,1436,40.0,3000,0,1.0,DQL_Enhanced_RLBEEP
131,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
132,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
133,1442,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
134,1456,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
135,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
136,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
137,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
138,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
139,1517,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
140,1448,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
141,1522,20.0,3000,0,1.0,DQL_Enhanced_RLBEEP
142,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
143,1517,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
144,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
145,1513,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
146,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
147,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
148,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
149,1456,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
150,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
151,1507,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
152,1456,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
153,1466,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
154,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
155,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
156,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
157,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
158,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
159,1466,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
160,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
161,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
162,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
163,1518,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
164,1509,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
165,1462,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
166,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
167,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
168,1503,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
169,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
170,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
171,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
172,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
173,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
174,1453,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
175,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
176,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
177,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
178,1515,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
179,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
180,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
181,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
182,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
183,1525,0.0,3000,0,1.0,DQL_Enhanced_RLBEEP
