time,live_nodes,live_percentage,total_transmissions,node_1_energy,node_1_alive,node_1_type,node_2_energy,node_2_alive,node_2_type,node_3_energy,node_3_alive,node_3_type,node_4_energy,node_4_alive,node_4_type,node_5_energy,node_5_alive,node_5_type,node_6_energy,node_6_alive,node_6_type,node_7_energy,node_7_alive,node_7_type,node_8_energy,node_8_alive,node_8_type,node_9_energy,node_9_alive,node_9_type,node_10_energy,node_10_alive,node_10_type
15,10,100.0,0,98.75960198961998,1,CLUSTER_HEAD,98.34868398478667,1,REGULAR,98.52899997855995,1,CLUSTER_HEAD,98.07796597075001,1,REGULAR,98.24924999324999,1,REGULAR,98.11398598961999,1,REGULAR,98.76681998478662,1,CLUSTER_HEAD,98.37084397856002,1,REGULAR,98.53614197074998,1,CLUSTER_HEAD,98.38924999325,1,REGULAR
16,10,100.0,0,98.70509545596666,1,CLUSTER_HEAD,98.29367698441334,1,REGULAR,98.46949144479996,1,CLUSTER_HEAD,98.01795697027002,1,REGULAR,98.18674499298332,1,REGULAR,98.0489799893,1,REGULAR,98.71481245107996,1,CLUSTER_HEAD,98.31833597813335,1,REGULAR,98.47913243693665,1,CLUSTER_HEAD,98.33174499298333,1,REGULAR
17,10,100.0,0,98.65058888895999,1,CLUSTER_HEAD,98.23866998401667,1,REGULAR,98.40998287767995,1,CLUSTER_HEAD,97.95794796976003,1,REGULAR,98.12423999269998,1,REGULAR,97.98397398895999,1,REGULAR,98.66280488401664,1,CLUSTER_HEAD,98.26582797768002,1,REGULAR,98.42212286975999,1,CLUSTER_HEAD,98.2742399927,1,REGULAR
18,10,100.0,0,98.59608228859999,1,CLUSTER_HEAD,98.18366298359666,1,REGULAR,98.35047427719995,1,CLUSTER_HEAD,97.89793896922002,1,REGULAR,98.06173499239998,1,REGULAR,97.91896798859999,1,REGULAR,98.61079728359664,1,CLUSTER_HEAD,98.21331997720002,1,REGULAR,98.36511326921999,1,CLUSTER_HEAD,98.2167349924,1,REGULAR
19,10,100.0,0,98.54157565488664,1,CLUSTER_HEAD,98.12865598315332,1,REGULAR,98.29096564335994,1,CLUSTER_HEAD,97.83792996865002,1,REGULAR,97.99922999208331,1,REGULAR,97.85396198822,1,REGULAR,98.55878964981997,1,CLUSTER_HEAD,98.16081197669335,1,REGULAR,98.30810363531666,1,CLUSTER_HEAD,98.15922999208334,1,REGULAR
20,10,100.0,0,98.48706898781998,1,CLUSTER_HEAD,98.07364898268665,1,REGULAR,98.23145697615995,1,CLUSTER_HEAD,97.77792096805001,1,REGULAR,97.93672499174998,1,REGULAR,97.78895598781999,1,REGULAR,98.50678198268665,1,CLUSTER_HEAD,98.10830397616002,1,REGULAR,98.25109396805,1,CLUSTER_HEAD,98.10172499175,1,REGULAR
21,10,100.0,0,98.43256228739999,1,CLUSTER_HEAD,98.01864198219666,1,REGULAR,98.17194827559995,1,CLUSTER_HEAD,97.71791196742001,1,REGULAR,97.87421999139998,1,REGULAR,97.72394998739999,1,REGULAR,98.45477428219665,1,CLUSTER_HEAD,98.05579597560002,1,REGULAR,98.19408426742001,1,CLUSTER_HEAD,98.0442199914,1,REGULAR
22,10,100.0,0,98.37805555362665,1,CLUSTER_HEAD,97.96363498168333,1,REGULAR,98.11243954167995,1,CLUSTER_HEAD,97.65790296676,1,REGULAR,97.81171499103331,1,REGULAR,97.65894398696,1,REGULAR,98.40276654834999,1,CLUSTER_HEAD,98.00328797501335,1,REGULAR,98.13707453342668,1,CLUSTER_HEAD,97.98671499103334,1,REGULAR
23,10,100.0,0,98.32354878649998,1,CLUSTER_HEAD,97.90862798114667,1,REGULAR,98.05293077439994,1,CLUSTER_HEAD,97.59789396607,1,REGULAR,97.74920999064997,1,REGULAR,97.5939379865,1,REGULAR,98.35075878114665,1,CLUSTER_HEAD,97.95077997440002,1,REGULAR,98.08006476607001,1,CLUSTER_HEAD,97.92920999065001,1,REGULAR
24,10,100.0,0,98.26904198601999,1,CLUSTER_HEAD,97.85362098058667,1,REGULAR,97.99342197375994,1,CLUSTER_HEAD,97.53788496535,1,REGULAR,97.68670499024998,1,REGULAR,97.52893198602,1,REGULAR,98.29875098058665,1,CLUSTER_HEAD,97.89827197376002,1,REGULAR,98.02305496535,1,CLUSTER_HEAD,97.87170499025001,1,REGULAR
25,10,100.0,0,98.21453515218666,1,CLUSTER_HEAD,97.79861398000334,1,REGULAR,97.93391313975994,1,CLUSTER_HEAD,97.4778759646,1,REGULAR,97.62419998983331,1,REGULAR,97.46392598551999,1,REGULAR,98.24674314666998,1,CLUSTER_HEAD,97.84576397309336,1,REGULAR,97.96604513126667,1,CLUSTER_HEAD,97.81419998983334,1,REGULAR
