Node_ID,Death_Time,Node_Type,Initial_Energy,Final_Energy
1,2576,REGULAR,125.73319644908956,0
2,2791,REGULAR,0.0,0
3,2671,CLUSTER_HEAD,0.0,0
4,2539,CLUSTER_HEAD,0.0,0
5,2640,REGULAR,200.0,0
6,2450,CLUSTER_HEAD,0.0,0
7,3071,REGULAR,5.462674317673029,0
8,2946,CLUSTER_HEAD,0.0,0
9,2783,REGULAR,0.0,0
10,2778,CLUSTER_HEAD,0.0,0
11,2581,REGULAR,0.0,0
12,2472,REGULAR,0.0,0
13,2426,REGULAR,27.066470343192126,0
14,3040,CLUSTER_HEAD,3.41862970191799,0
15,2910,REGULAR,0.0,0
16,2829,REGULAR,29.55790361434,0
17,2785,CLUSTER_HEAD,0.0,0
18,2521,REGULAR,0.0,0
19,2445,CLUSTER_HEAD,0.0,0
20,2525,REGULAR,175.01759981157497,0
21,3035,REGULAR,3.253176915542039,0
22,2928,REGULAR,0.0,0
23,2752,CLUSTER_HEAD,0.0,0
24,2772,REGULAR,0.0,0
25,2615,REGULAR,0.0,0
26,2488,CLUSTER_HEAD,0.0,0
27,2544,REGULAR,200.0,0
28,3060,REGULAR,23.8086094431679,0
29,2929,REGULAR,36.91492012642079,0
30,2972,CLUSTER_HEAD,0.0,0
31,2862,CLUSTER_HEAD,0.0,0
32,2559,CLUSTER_HEAD,0.0,0
33,2466,REGULAR,0.0,0
34,2450,CLUSTER_HEAD,0.0,0
35,3069,REGULAR,5.224169459350025,0
36,2959,REGULAR,17.534950497026024,0
37,2917,REGULAR,0.0,0
38,2377,REGULAR,10.238702782070922,0
39,2489,REGULAR,0.0,0
40,2495,REGULAR,0.0,0
41,2375,CLUSTER_HEAD,0.0,0
42,2674,CLUSTER_HEAD,0.0,0
43,2946,CLUSTER_HEAD,0.0,0
44,2936,REGULAR,0.0,0
45,2694,CLUSTER_HEAD,0.0,0
46,2581,REGULAR,0.0,0
47,2411,CLUSTER_HEAD,0.0,0
48,2358,REGULAR,0.0,0
49,2995,REGULAR,0.0,0
50,2958,REGULAR,36.30167491527503,0
