Times,OperatingNodes,DeadNodes,EnergyConsumed
1,100,0,111.45
2,100,0,115.35
3,100,0,115.35
4,100,0,115.05
5,100,0,115.05
6,100,0,114.45
7,100,0,114.75
8,100,0,115.65
9,100,0,116.85
10,100,0,115.95
11,100,0,116.25
12,100,0,115.95
13,100,0,116.85
14,100,0,116.55
15,100,0,116.25
16,100,0,116.85
17,100,0,116.55
18,100,0,116.25
19,100,0,117.15
20,100,0,116.25
21,100,0,116.55
22,100,0,116.85
23,100,0,117.45
24,100,0,116.55
25,100,0,117.45
26,100,0,116.55
27,100,0,116.25
28,100,0,117.15
29,100,0,116.85
30,100,0,116.85
31,100,0,116.85
32,100,0,116.25
33,100,0,117.15
34,100,0,116.25
35,100,0,116.25
36,100,0,116.55
37,100,0,115.95
38,100,0,116.25
39,100,0,116.25
40,100,0,116.25
41,100,0,116.85
42,100,0,116.25
43,100,0,116.25
44,100,0,116.25
45,100,0,116.55
46,100,0,116.85
47,100,0,116.25
48,100,0,115.65
49,100,0,116.25
50,100,0,116.25
51,100,0,116.25
52,100,0,115.95
53,100,0,115.95
54,100,0,115.95
55,100,0,115.95
56,100,0,115.95
57,100,0,115.95
58,100,0,115.95
59,100,0,115.95
60,100,0,115.95
61,100,0,115.95
62,100,0,115.95
63,100,0,115.95
64,100,0,115.65
65,100,0,115.65
66,100,0,115.35
67,100,0,115.65
68,100,0,115.35
69,100,0,115.35
70,100,0,115.35
71,100,0,115.35
72,100,0,115.05
73,100,0,115.35
74,100,0,114.75
75,100,0,115.65
76,100,0,114.75
77,100,0,114.75
78,100,0,114.75
79,100,0,115.05
80,100,0,114.45
81,100,0,115.05
82,100,0,114.45
83,100,0,114.45
84,100,0,114.75
85,100,0,114.75
86,100,0,114.75
87,100,0,114.45
88,100,0,115.05
89,100,0,114.75
90,100,0,114.15
91,100,0,115.05
92,100,0,114.45
93,100,0,114.75
94,100,0,115.05
95,100,0,114.45
96,100,0,114.45
97,100,0,114.15
98,100,0,114.75
99,100,0,114.45
100,100,0,114.15
101,100,0,113.85
102,100,0,114.75
103,100,0,114.15
104,100,0,114.15
105,100,0,113.55
106,100,0,113.55
107,100,0,114.15
108,100,0,113.85
109,100,0,113.55
110,100,0,114.15
111,100,0,114.15
112,100,0,112.65
113,100,0,113.85
114,100,0,113.25
115,100,0,114.15
116,100,0,112.95
117,100,0,113.85
118,100,0,112.95
119,100,0,113.55
120,100,0,113.85
121,100,0,112.35
122,100,0,112.65
123,100,0,113.85
124,100,0,113.25
125,100,0,113.85
126,100,0,114.15
127,100,0,113
128,100,0,4.55
129,100,0,4.55
130,100,0,4.55
131,100,0,4.55
132,100,0,4.55
133,100,0,4.55
134,100,0,4.55
135,100,0,4.55
136,100,0,4.55
137,100,0,4.55
138,100,0,4.55
139,100,0,4.55
140,100,0,4.55
141,100,0,4.55
142,100,0,4.55
143,100,0,4.55
144,100,0,4.55
145,100,0,4.55
146,100,0,4.55
147,100,0,4.55
148,100,0,4.55
149,100,0,4.55
150,100,0,4.55
151,100,0,4.55
152,100,0,4.55
153,100,0,4.55
154,100,0,4.55
155,100,0,4.55
156,100,0,4.55
157,100,0,4.55
158,100,0,4.55
159,100,0,4.55
160,100,0,4.55
161,100,0,4.55
162,100,0,4.55
163,100,0,4.55
164,100,0,4.55
165,100,0,4.55
166,100,0,4.55
167,100,0,4.55
168,100,0,4.55
169,100,0,4.55
170,100,0,4.55
171,100,0,4.55
172,100,0,4.55
173,100,0,4.55
174,100,0,4.55
175,100,0,4.55
176,100,0,4.55
177,100,0,4.55
178,100,0,4.55
179,100,0,4.55
180,100,0,4.55
181,100,0,4.55
182,100,0,4.55
183,100,0,4.55
184,100,0,4.55
185,100,0,4.55
186,100,0,4.55
187,100,0,4.55
188,100,0,4.55
189,100,0,4.55
190,100,0,4.55
191,100,0,4.55
192,100,0,4.55
193,100,0,4.55
194,100,0,4.55
195,100,0,4.55
196,100,0,4.55
197,100,0,4.55
198,100,0,4.55
199,100,0,4.55
200,100,0,4.55
201,100,0,4.55
202,100,0,4.55
203,100,0,4.55
204,100,0,4.55
205,100,0,4.55
206,100,0,4.55
207,100,0,4.55
208,100,0,4.55
209,100,0,4.55
210,100,0,4.55
211,100,0,4.55
212,100,0,4.55
213,100,0,4.55
214,100,0,4.55
215,100,0,4.55
216,100,0,4.55
217,100,0,4.55
218,100,0,4.55
219,100,0,4.55
220,100,0,4.55
221,100,0,4.55
222,100,0,4.55
223,100,0,4.55
224,100,0,4.55
225,100,0,4.55
226,100,0,4.55
227,100,0,4.55
228,100,0,4.55
229,100,0,4.55
230,100,0,4.55
231,100,0,4.55
232,100,0,4.55
233,100,0,4.55
234,100,0,4.55
235,100,0,4.55
236,100,0,4.55
237,100,0,4.55
238,100,0,4.55
239,100,0,4.55
240,100,0,4.55
241,100,0,4.55
242,100,0,4.55
243,100,0,4.55
244,100,0,18.45
245,100,0,18.75
246,100,0,18.75
247,100,0,18.75
248,100,0,18.45
249,100,0,18.75
250,100,0,18.45
251,100,0,18.45
252,100,0,18.75
253,100,0,18.45
254,99,1,18.45
255,98,2,17.8
256,96,4,15.85
257,96,4,13.9
258,96,4,13.9
