Time,Live_Nodes,Live_Percentage
0,30,100.0
1,30,100.0
2,30,100.0
3,30,100.0
4,30,100.0
5,30,100.0
6,30,100.0
7,30,100.0
8,30,100.0
9,30,100.0
10,30,100.0
11,30,100.0
12,30,100.0
13,30,100.0
14,30,100.0
15,30,100.0
16,30,100.0
17,30,100.0
18,30,100.0
19,30,100.0
20,30,100.0
21,30,100.0
22,30,100.0
23,30,100.0
24,30,100.0
25,30,100.0
26,30,100.0
27,30,100.0
28,30,100.0
29,30,100.0
30,30,100.0
31,30,100.0
32,30,100.0
33,30,100.0
34,30,100.0
35,30,100.0
36,30,100.0
37,30,100.0
38,30,100.0
39,30,100.0
40,30,100.0
41,30,100.0
42,30,100.0
43,30,100.0
44,30,100.0
45,30,100.0
46,30,100.0
47,30,100.0
48,30,100.0
49,30,100.0
50,30,100.0
51,30,100.0
52,30,100.0
53,30,100.0
54,30,100.0
55,30,100.0
56,30,100.0
57,30,100.0
58,30,100.0
59,30,100.0
60,30,100.0
61,30,100.0
62,30,100.0
63,30,100.0
64,30,100.0
65,30,100.0
66,30,100.0
67,30,100.0
68,30,100.0
69,30,100.0
70,30,100.0
71,30,100.0
72,30,100.0
73,30,100.0
74,30,100.0
75,30,100.0
76,30,100.0
77,30,100.0
78,30,100.0
79,30,100.0
80,30,100.0
81,30,100.0
82,30,100.0
83,30,100.0
84,30,100.0
85,30,100.0
86,30,100.0
87,30,100.0
88,30,100.0
89,30,100.0
90,30,100.0
91,30,100.0
92,30,100.0
93,30,100.0
94,30,100.0
95,30,100.0
96,30,100.0
97,30,100.0
98,30,100.0
99,30,100.0
100,30,100.0
101,30,100.0
102,30,100.0
103,30,100.0
104,30,100.0
105,30,100.0
106,30,100.0
107,30,100.0
108,30,100.0
109,30,100.0
110,30,100.0
111,30,100.0
112,30,100.0
113,30,100.0
114,30,100.0
115,30,100.0
116,30,100.0
117,30,100.0
118,30,100.0
119,30,100.0
120,30,100.0
121,30,100.0
