Metric,Value
Number_of_Nodes,30.0
Number_of_Clusters,12.0
First_Death_Time,2008.0
Last_Death_Time,2864.0
Network_Lifetime,2864.0
Final_Live_Percentage,0.0
Total_Transmissions,46.0
Average_Transmissions_per_Second,0.015994436717663423
Simulation_Duration,2876.0
