Time,Live_Node_Percentage,Total_Energy,Packets_Received,Active_Nodes
0,100.0,1002.880921725227,0,10
1,100.0,1001.8917607941925,0,10
2,100.0,1000.9440039420653,0,10
3,100.0,999.9776958938342,0,10
4,100.0,998.9777935743382,0,10
5,100.0,997.9671624563213,0,10
6,100.0,996.9583599431054,0,10
7,100.0,995.9712582099949,0,10
8,100.0,994.9672684865533,0,10
9,100.0,993.9631474518852,0,10
10,100.0,992.9685495386017,0,4
11,100.0,992.2566225794801,0,4
12,100.0,991.5488562199662,0,4
13,100.0,990.8510597199024,0,4
14,100.0,990.160341005826,0,4
15,100.0,989.4725677110602,0,4
16,100.0,988.7934210394455,0,4
17,100.0,988.1058734799633,0,4
18,100.0,987.4279806868295,0,4
19,100.0,986.7643374368126,0,4
20,100.0,986.0498306916926,0,4
21,100.0,985.3087898354622,0,4
22,100.0,984.5834675796115,0,4
23,100.0,983.871884616609,0,4
24,100.0,983.1904199315167,0,4
25,100.0,982.4859752209996,0,4
26,100.0,981.800204858663,0,4
27,100.0,981.1087445788278,0,4
28,100.0,980.4447694676421,0,4
29,100.0,979.7336341403259,0,4
30,100.0,979.0435137403151,0,4
31,100.0,978.3758621212916,0,10
32,100.0,977.3856226603239,0,10
33,100.0,976.3839515490519,0,10
34,100.0,975.3661157277412,0,10
35,100.0,974.3500430859463,0,10
36,100.0,973.2899815326427,0,10
37,100.0,972.2655638978322,0,10
38,100.0,971.2746041590912,0,10
39,100.0,970.2038561054279,0,10
40,100.0,969.19633654826,0,10
41,100.0,968.2055233585211,0,4
42,100.0,967.496588991002,0,4
43,100.0,966.7862872433136,0,4
44,100.0,966.0806492966459,0,4
45,100.0,965.3999274813365,0,4
46,100.0,964.6901694521506,0,4
47,100.0,963.9523130416226,0,4
48,100.0,963.2671112543736,0,4
49,100.0,962.5281218612016,0,4
50,100.0,961.8538393029237,0,4
51,100.0,961.1341735780564,0,4
52,100.0,960.4368686733476,0,4
53,100.0,959.7511016449304,0,4
54,100.0,959.0375437523977,0,4
55,100.0,958.318994803985,0,4
56,100.0,957.6470639064736,0,4
57,100.0,956.9530654233953,0,4
58,100.0,956.2661500794725,0,4
59,100.0,955.5778965946243,0,4
60,100.0,954.8926389542241,0,4
61,100.0,954.2049740290706,0,10
62,100.0,953.2583475689062,0,10
63,100.0,952.2541894756632,0,10
64,100.0,951.2553634040308,0,10
65,100.0,950.2526247112656,0,10
66,100.0,949.2918987766078,0,10
67,100.0,948.3233403736762,0,10
68,100.0,947.3547841246957,0,10
69,100.0,946.3752344250145,0,10
70,100.0,945.3563005277457,0,10
71,100.0,944.3396791718744,0,4
72,100.0,943.6440768403043,0,4
73,100.0,942.9516051139611,0,4
74,100.0,942.2514839860605,0,4
75,100.0,941.5525699977524,0,4
76,100.0,940.8569352462034,0,4
77,100.0,940.177555114836,0,4
78,100.0,939.4754695247096,0,4
79,100.0,938.7825912815838,0,4
80,100.0,938.0157806676436,0,4
81,100.0,937.3128952849733,0,4
82,100.0,936.6181716727498,0,4
83,100.0,935.9112431208841,0,4
84,100.0,935.2220995398411,0,4
85,100.0,934.5210050318235,0,4
86,100.0,933.8454838824484,0,4
87,100.0,933.1527120239002,0,4
88,100.0,932.4232586999933,0,4
89,100.0,931.7429435111515,0,4
90,100.0,931.0507250132855,0,4
91,100.0,930.3264149799703,0,10
92,100.0,929.3680037697371,0,10
93,100.0,928.3415251964543,0,10
94,100.0,927.3519893624655,0,10
95,100.0,926.3373417833849,0,10
96,100.0,925.3619847531006,0,10
97,100.0,924.3757281020241,0,10
98,100.0,923.398467899738,0,10
99,100.0,922.4142009379746,0,10
100,100.0,921.4432369701384,0,10
101,100.0,920.421246072073,0,4
102,100.0,919.6850604979323,0,4
103,100.0,918.9651530833657,0,4
104,100.0,918.2696427290548,0,4
105,100.0,917.5454879990335,0,4
106,100.0,916.8435828307049,0,4
107,100.0,916.1153362846346,0,4
108,100.0,915.4354529674547,0,4
109,100.0,914.7174870566955,0,4
110,100.0,914.0264645137091,0,4
111,100.0,913.3120340719299,0,4
112,100.0,912.659955828185,0,4
113,100.0,911.9370914290879,0,4
