Time,Live_Node_Percentage,Total_Energy,Packets_Received,Active_Nodes
0,100.0,9971.619957326124,0,50
1,100.0,9965.568448420841,0,50
2,100.0,9959.491286145563,0,50
3,100.0,9953.515975042541,0,50
4,100.0,9947.31614002362,0,50
5,100.0,9941.30105716744,0,50
6,100.0,9935.340889009327,0,50
7,100.0,9929.414574330753,0,50
8,100.0,9923.421833847182,0,50
9,100.0,9917.548145327097,0,50
10,100.0,9911.385929309854,0,20
11,100.0,9907.149846082642,0,20
12,100.0,9902.870965574984,0,20
13,100.0,9898.733708452468,0,20
14,100.0,9894.438033609007,0,20
15,100.0,9890.239860500098,0,20
16,100.0,9886.065517993831,0,20
17,100.0,9881.940385442384,0,20
18,100.0,9877.809141517391,0,20
19,100.0,9873.65321903469,0,20
20,100.0,9869.46769698245,0,20
21,100.0,9865.266601726613,0,20
22,100.0,9861.091194708732,0,20
23,100.0,9856.82072794824,0,20
24,100.0,9852.64295147366,0,20
25,100.0,9848.502504504893,0,20
26,100.0,9844.321736413613,0,20
27,100.0,9840.194913499343,0,20
28,100.0,9835.992766450503,0,20
29,100.0,9831.706252525371,0,20
30,100.0,9827.426936190566,0,20
31,100.0,9823.262360026405,0,50
32,100.0,9817.347383103046,0,50
33,100.0,9811.375066058283,0,50
34,100.0,9805.403787904395,0,50
35,100.0,9799.333694586609,0,50
36,100.0,9793.311916534809,0,50
37,100.0,9787.278250602187,0,50
38,100.0,9781.332911714744,0,50
39,100.0,9775.17886203262,0,50
40,100.0,9769.2459071147,0,50
41,100.0,9763.317839687901,0,20
42,100.0,9759.047325038962,0,20
43,100.0,9754.841404663357,0,20
44,100.0,9750.695824977118,0,20
45,100.0,9746.55341601375,0,20
46,100.0,9742.429465009041,0,20
47,100.0,9738.123723130368,0,20
48,100.0,9733.995313155638,0,20
49,100.0,9729.75776622401,0,20
50,100.0,9725.493872797517,0,20
51,100.0,9721.20018585888,0,20
52,100.0,9717.013602726489,0,20
53,100.0,9712.730445611674,0,20
54,100.0,9708.489398985483,0,20
55,100.0,9704.309567447417,0,20
56,100.0,9700.195192405277,0,20
57,100.0,9695.925994284291,0,20
58,100.0,9691.716360667855,0,20
59,100.0,9687.542096745905,0,20
60,100.0,9683.268536802934,0,20
61,100.0,9678.98784928242,0,50
62,100.0,9672.917780695472,0,50
63,100.0,9666.935965789666,0,50
64,100.0,9660.871601084327,0,50
65,100.0,9654.86219636859,0,50
66,100.0,9648.758935800492,0,50
67,100.0,9642.75929664967,0,50
68,100.0,9636.77619854266,0,50
69,100.0,9630.81180342783,0,50
70,100.0,9624.859582845773,0,50
71,100.0,9618.951626258146,0,20
72,100.0,9614.701837612653,0,20
73,100.0,9610.40481060632,0,20
74,100.0,9606.088090114672,0,20
75,100.0,9601.847369622883,0,20
76,100.0,9597.586546469784,0,20
77,100.0,9593.425742208987,0,20
78,100.0,9589.248633994157,0,20
79,100.0,9585.130905483857,0,20
80,100.0,9580.867576352563,0,20
81,100.0,9576.656214761691,0,20
82,100.0,9572.589624633938,0,20
83,100.0,9568.302868381783,0,20
84,100.0,9563.98597887198,0,20
85,100.0,9559.730177869851,0,20
86,100.0,9555.564829824922,0,20
87,100.0,9551.372896718667,0,20
88,100.0,9547.17844797821,0,20
89,100.0,9542.906152201118,0,20
90,100.0,9538.681014728583,0,20
91,100.0,9534.568841084018,0,50
92,100.0,9528.556258943323,0,50
93,100.0,9522.66723442015,0,50
94,100.0,9516.708149667917,0,50
95,100.0,9510.700505605037,0,50
96,100.0,9504.601878334097,0,50
97,100.0,9498.721249551068,0,50
98,100.0,9492.732859704785,0,50
99,100.0,9486.669359004443,0,50
100,100.0,9480.614466072848,0,50
101,100.0,9474.585709908388,0,20
102,100.0,9470.337703820856,0,20
103,100.0,9466.098194490754,0,20
104,100.0,9461.781688175717,0,20
105,100.0,9457.593913999,0,20
106,100.0,9453.393098071454,0,20
107,100.0,9449.243633894786,0,20
108,100.0,9445.110417948725,0,20
109,100.0,9440.865512710467,0,20
110,100.0,9436.639305139788,0,20
111,100.0,9432.44919243791,0,20
112,100.0,9428.325117653445,0,20
113,100.0,9424.133903266275,0,20
114,100.0,9419.923020828855,0,20
115,100.0,9415.663223712996,0,20
116,100.0,9411.430834953908,0,20
117,100.0,9407.217644309672,0,20
118,100.0,9403.09025011173,0,20
119,100.0,9398.843743757787,0,20
120,100.0,9394.610877729228,0,20
121,100.0,9390.358641132376,0,50
122,100.0,9384.445485835226,0,50
123,100.0,9378.328716280706,0,50
124,100.0,9372.420602731092,0,50
125,100.0,9366.418658584964,0,50
126,100.0,9360.36738889695,0,50
127,100.0,9354.318869378138,0,50
128,100.0,9348.420552593685,0,50
129,100.0,9342.454896297371,0,50
130,100.0,9336.446685051984,0,50
131,100.0,9330.43868548764,0,20
132,100.0,9326.253043073468,0,20
133,100.0,9322.061009536641,0,20
134,100.0,9317.888885718547,0,20
135,100.0,9313.62114586838,0,20
136,100.0,9309.470652330503,0,20
137,100.0,9305.24393191902,0,20
138,100.0,9301.210243501133,0,20
139,100.0,9297.02108089204,0,20
140,100.0,9292.869612338243,0,20
141,100.0,9288.62242777579,0,20
142,100.0,9284.37121922675,0,20
143,100.0,9280.21284403641,0,20
144,100.0,9276.081423010894,0,20
145,100.0,9271.90476210956,0,20
146,100.0,9267.622013464646,0,20
147,100.0,9263.383248792617,0,20
148,100.0,9259.229026878817,0,20
149,100.0,9255.028369487767,0,20
150,100.0,9250.81937064085,0,20
151,100.0,9246.61919514501,0,50
152,100.0,9240.622235375184,0,50
153,100.0,9234.696752424274,0,50
154,100.0,9228.726771530588,0,50
155,100.0,9222.743832283968,0,50
156,100.0,9216.683979484791,0,50
157,100.0,9210.615018314991,0,50
158,100.0,9204.489254722863,0,50
159,100.0,9198.389257612414,0,50
160,100.0,9192.366262637077,0,50
161,100.0,9186.274883780881,0,20
162,100.0,9182.093525861723,0,20
163,100.0,9177.777963679839,0,20
164,100.0,9173.669961907088,0,20
165,100.0,9169.560744551227,0,20
166,100.0,9165.421374656142,0,20
167,100.0,9161.224685751728,0,20
168,100.0,9157.02553277898,0,20
169,100.0,9152.898376496167,0,20
170,100.0,9148.611780014213,0,20
171,100.0,9144.421738939132,0,20
172,100.0,9140.18132352815,0,20
173,100.0,9136.073916569401,0,20
174,100.0,9131.894790021128,0,20
175,100.0,9127.632275739072,0,20
176,100.0,9123.49630308056,0,20
177,100.0,9119.313819698647,0,20
178,100.0,9115.06611527119,0,20
179,100.0,9110.994165048307,0,20
180,100.0,9106.779167062057,0,20
181,100.0,9102.572459892588,0,50
182,100.0,9096.574265196787,0,50
183,100.0,9090.510026244117,0,50
184,100.0,9084.473278274649,0,50
185,100.0,9078.46712528002,0,50
186,100.0,9072.435756927889,0,50
187,100.0,9066.382836334922,0,50
188,100.0,9060.414326474433,0,50
189,100.0,9054.396859510109,0,50
190,100.0,9048.387475949527,0,50
191,100.0,9042.250828267439,0,20
192,100.0,9038.004496428353,0,20
193,100.0,9033.82598259316,0,20
194,100.0,9029.546377437839,0,20
195,100.0,9025.327197669103,0,20
196,100.0,9021.181404263745,0,20
197,100.0,9016.963741999114,0,20
198,100.0,9012.806708312026,0,20
199,100.0,9008.614861927412,0,20
200,100.0,9004.305543761142,0,20
201,100.0,9000.124016528576,0,20
202,100.0,8995.977037964598,0,20
203,100.0,8991.710224668468,0,20
204,100.0,8987.576081276055,0,20
205,100.0,8983.371520100729,0,20
206,100.0,8979.138691542565,0,20
207,100.0,8974.933231832973,0,20
208,100.0,8970.765604634722,0,20
209,100.0,8966.552048786518,0,20
210,100.0,8962.350709812898,0,20
211,100.0,8958.168647124205,0,50
212,100.0,8952.082032860535,0,50
213,100.0,8946.137427155414,0,50
214,100.0,8940.04255983053,0,50
215,100.0,8934.009329098297,0,50
216,100.0,8927.986175934624,0,50
217,100.0,8922.097503912264,0,50
218,100.0,8916.104549871174,0,50
219,100.0,8910.05570295652,0,50
220,100.0,8903.899397282305,0,50
221,100.0,8897.90369299309,0,20
222,100.0,8893.761242302113,0,20
223,100.0,8889.517876477861,0,20
224,100.0,8885.33812704038,0,20
225,100.0,8881.154254481444,0,20
226,100.0,8876.98894904019,0,20
227,100.0,8872.778917076343,0,20
228,100.0,8868.598002763218,0,20
229,100.0,8864.461412516202,0,20
230,100.0,8860.227297909261,0,20
231,100.0,8856.042658300868,0,20
232,100.0,8851.867903662953,0,20
233,100.0,8847.617167516473,0,20
234,100.0,8843.327656220847,0,20
235,100.0,8839.176448191376,0,20
236,100.0,8834.972808233892,0,20
237,100.0,8830.741857073226,0,20
238,100.0,8826.483817035476,0,20
239,100.0,8822.260214638502,0,20
240,100.0,8818.10437538465,0,20
241,100.0,8813.894803185738,0,50
242,100.0,8807.985813036918,0,50
243,100.0,8802.044069034078,0,50
244,100.0,8796.034809027942,0,50
245,100.0,8790.004865895517,0,50
246,100.0,8783.9334163314,0,50
247,100.0,8777.895944700975,0,50
248,100.0,8771.907968394518,0,50
249,100.0,8765.83388861977,0,50
250,100.0,8759.738825185776,0,50
251,100.0,8753.690877770336,0,34
252,100.0,8748.667859582501,0,34
253,100.0,8743.49087358869,0,34
254,100.0,8738.505464150692,0,34
255,100.0,8733.524564705476,0,34
256,100.0,8728.542497175964,0,34
257,100.0,8723.619442888315,0,34
258,100.0,8718.554141130424,0,34
259,100.0,8713.572401937037,0,34
260,100.0,8708.534574436611,0,20
261,100.0,8704.468207311364,0,20
262,100.0,8700.209368812657,0,20
263,100.0,8696.036917087336,0,20
264,100.0,8691.815044180092,0,20
265,100.0,8687.640673974465,0,20
266,100.0,8683.427922488036,0,20
267,100.0,8679.25629296862,0,20
268,100.0,8674.962744449562,0,20
269,100.0,8670.738847382527,0,20
270,100.0,8666.584544648664,0,20
271,100.0,8662.336055582404,0,50
272,100.0,8656.260184804496,0,50
273,100.0,8650.190141011488,0,50
274,100.0,8644.289529760032,0,50
275,100.0,8638.387505508206,0,50
276,100.0,8632.310292628305,0,50
277,100.0,8626.35880837409,0,50
278,100.0,8620.234858199983,0,50
279,100.0,8614.265555601873,0,50
280,100.0,8608.179600595564,0,50
281,100.0,8602.222415714466,0,20
282,100.0,8598.000868008889,0,20
283,100.0,8593.841760936024,0,20
284,100.0,8589.706029888537,0,20
285,100.0,8585.484862057789,0,20
286,100.0,8581.330507770695,0,20
287,100.0,8577.146910494099,0,20
288,100.0,8572.887471493368,0,20
289,100.0,8568.699732422974,0,20
290,100.0,8564.464024791327,0,20
291,100.0,8560.305149072845,0,20
292,100.0,8556.069560929309,0,20
293,100.0,8551.913440796641,0,20
294,100.0,8547.830657478924,0,20
295,100.0,8543.68516559081,0,20
296,100.0,8539.543192423464,0,20
297,100.0,8535.345502277494,0,20
298,100.0,8531.175533212616,0,20
299,100.0,8526.942920155647,0,20
300,100.0,8522.694856345353,0,20
301,100.0,8518.437469259374,0,50
302,100.0,8512.450419673685,0,50
303,100.0,8506.369506599895,0,50
304,100.0,8500.308199453659,0,50
305,100.0,8494.244470825812,0,50
306,100.0,8488.322492921465,0,50
307,100.0,8482.345131253775,0,50
308,100.0,8476.352423875049,0,50
309,100.0,8470.431848392356,0,50
310,100.0,8464.423215731249,0,50
311,100.0,8458.457702710053,0,20
312,100.0,8454.226353639373,0,20
313,100.0,8449.990788226034,0,20
314,100.0,8445.863198945679,0,20
315,100.0,8441.64183328617,0,20
316,100.0,8437.497812543721,0,20
317,100.0,8433.304134834829,0,20
318,100.0,8429.094928367396,0,20
319,100.0,8424.981771457946,0,20
320,100.0,8420.870379400223,0,20
321,100.0,8416.670674190487,0,20
322,100.0,8412.42276645689,0,20
323,100.0,8408.202589192886,0,20
324,100.0,8404.023158899283,0,20
325,100.0,8399.80677134956,0,20
326,100.0,8395.582547388405,0,20
327,100.0,8391.43037643531,0,20
328,100.0,8387.281720112916,0,20
329,100.0,8383.121948066617,0,20
330,100.0,8378.898516297813,0,20
331,100.0,8374.695782221708,0,50
332,100.0,8368.633611748317,0,50
333,100.0,8362.808406442618,0,50
334,100.0,8356.728343604615,0,50
335,100.0,8350.634070387427,0,50
336,100.0,8344.565453978359,0,50
337,100.0,8338.529282010806,0,50
338,100.0,8332.459619680607,0,50
339,100.0,8326.4235527947,0,50
340,100.0,8320.389533515567,0,50
341,100.0,8314.329740960886,0,20
342,100.0,8310.129580993178,0,20
343,100.0,8306.070721212534,0,20
344,100.0,8301.93303334419,0,20
345,100.0,8297.699955865097,0,20
346,100.0,8293.480673805325,0,20
347,100.0,8289.335284103274,0,20
348,100.0,8285.173849068386,0,20
349,100.0,8280.977812593845,0,20
350,100.0,8276.71313877833,0,20
351,100.0,8272.386328636447,0,20
352,100.0,8268.193427648695,0,20
353,100.0,8263.932911673082,0,20
354,100.0,8259.723845853618,0,20
355,100.0,8255.556148912265,0,20
356,100.0,8251.362092683576,0,20
357,100.0,8247.216251377646,0,20
358,100.0,8243.071030111978,0,20
359,100.0,8238.836115593333,0,20
360,100.0,8234.556980434429,0,20
361,100.0,8230.326587760588,0,50
362,100.0,8224.344335590553,0,50
363,100.0,8218.317589679358,0,50
364,100.0,8212.234651856235,0,50
365,100.0,8206.166673172662,0,50
366,100.0,8200.192594076125,0,50
367,100.0,8194.281019337957,0,50
368,100.0,8188.346101509717,0,50
369,100.0,8182.306192179504,0,50
370,100.0,8176.330643357284,0,50
371,100.0,8170.338988944655,0,20
372,100.0,8166.116660042001,0,20
373,100.0,8161.897728034857,0,20
374,100.0,8157.711412336652,0,20
375,100.0,8153.555480448572,0,20
376,100.0,8149.2993697909,0,20
377,100.0,8145.022414970259,0,20
378,100.0,8140.836026302773,0,20
379,100.0,8136.666441200071,0,20
380,100.0,8132.438379454742,0,20
381,100.0,8128.3020014491,0,20
382,100.0,8124.10164871093,0,20
383,100.0,8119.985564570123,0,20
384,100.0,8115.822304774732,0,20
385,100.0,8111.646850989583,0,20
386,100.0,8107.430708681628,0,20
387,100.0,8103.158054695704,0,20
388,100.0,8099.001613316991,0,20
389,100.0,8094.683355076429,0,20
390,100.0,8090.490226995666,0,20
391,100.0,8086.273651520416,0,50
392,100.0,8080.291833140737,0,50
393,100.0,8074.327610467291,0,50
394,100.0,8068.270926611792,0,50
395,100.0,8062.299210625436,0,50
396,100.0,8056.40275514563,0,50
397,100.0,8050.318344499692,0,50
398,100.0,8044.295513377247,0,50
399,100.0,8038.223143283116,0,50
400,100.0,8032.274864702071,0,50
401,100.0,8026.211140806117,0,20
402,100.0,8022.029569476519,0,20
403,100.0,8017.834864309452,0,20
404,100.0,8013.64349803491,0,20
405,100.0,8009.49849475558,0,20
406,100.0,8005.357088189065,0,20
407,100.0,8001.160659758823,0,20
408,100.0,7996.939564653058,0,20
409,100.0,7992.697628731647,0,20
410,100.0,7988.425149928813,0,20
411,100.0,7984.169492183885,0,20
412,100.0,7979.825010350797,0,20
413,100.0,7975.638169830622,0,20
414,100.0,7971.448759998916,0,20
415,100.0,7967.393916457624,0,20
416,100.0,7963.257524610646,0,20
417,100.0,7959.004343951687,0,20
418,100.0,7954.877919634086,0,20
419,100.0,7950.631991691485,0,20
420,100.0,7946.5041861309655,0,20
421,100.0,7942.2823131141,0,50
422,100.0,7936.312152405399,0,50
423,100.0,7930.3313403248085,0,50
424,100.0,7924.367226996473,0,50
425,100.0,7918.452441566253,0,50
426,100.0,7912.317918518158,0,50
427,100.0,7906.2903854882925,0,50
428,100.0,7900.297783332157,0,50
429,100.0,7894.217909271733,0,50
430,100.0,7888.241641800271,0,50
431,100.0,7882.2051892206255,0,20
432,100.0,7877.902682169021,0,20
433,100.0,7873.679042108925,0,20
434,100.0,7869.489161223398,0,20
435,100.0,7865.314874277096,0,20
436,100.0,7861.192373152662,0,20
437,100.0,7857.041506384216,0,20
438,100.0,7852.794527767415,0,20
439,100.0,7848.582358766386,0,20
440,100.0,7844.333671276058,0,20
441,100.0,7840.214630579966,0,20
442,100.0,7835.955517541487,0,20
443,100.0,7831.7351586071645,0,20
444,100.0,7827.612101207559,0,20
445,100.0,7823.464058776313,0,20
446,100.0,7819.314872253563,0,20
447,100.0,7815.113205677102,0,20
448,100.0,7810.845398497385,0,20
449,100.0,7806.565808567043,0,20
450,100.0,7802.35150823467,0,20
451,100.0,7798.163522060205,0,50
452,100.0,7792.276929853995,0,50
453,100.0,7786.3373404735075,0,50
454,100.0,7780.314883617708,0,50
455,100.0,7774.247756580766,0,50
456,100.0,7768.3678986989,0,50
457,100.0,7762.407319979033,0,50
458,100.0,7756.55528454922,0,50
459,100.0,7750.4464523185925,0,50
460,100.0,7744.628265628024,0,50
461,100.0,7738.691213242479,0,20
462,100.0,7734.4000105679515,0,20
463,100.0,7730.172428398979,0,20
464,100.0,7726.077008235045,0,20
465,100.0,7721.79333899616,0,20
466,100.0,7717.565729706459,0,20
467,100.0,7713.357645534337,0,20
468,100.0,7709.24099043633,0,20
469,100.0,7704.989824566582,0,20
470,100.0,7700.730343921126,0,20
471,100.0,7696.4757362430255,0,20
472,100.0,7692.306737476404,0,20
473,100.0,7688.051363374907,0,20
474,100.0,7683.853137884838,0,20
475,100.0,7679.648822162032,0,20
476,100.0,7675.512630962549,0,20
477,100.0,7671.31856544775,0,20
478,100.0,7667.092509284955,0,20
479,100.0,7662.862357804132,0,20
480,100.0,7658.623419669733,0,20
481,100.0,7654.386058395039,0,50
482,100.0,7648.447427920672,0,50
483,100.0,7642.342374535156,0,50
484,100.0,7636.372746130608,0,50
485,100.0,7630.262833540028,0,50
486,100.0,7624.138746419234,0,50
487,100.0,7618.230148761659,0,50
488,100.0,7612.259283495837,0,50
489,100.0,7606.261385690363,0,50
490,100.0,7600.176889515402,0,50
491,100.0,7594.091567596043,0,20
492,100.0,7589.936816500301,0,20
493,100.0,7585.726824247525,0,20
494,100.0,7581.515428460521,0,20
495,100.0,7577.326268711635,0,20
496,100.0,7573.120036481022,0,20
497,100.0,7568.96290520132,0,20
498,100.0,7564.754284877116,0,20
499,100.0,7560.573004828988,0,20
500,100.0,7556.394776418328,0,20
501,100.0,7551.307617572457,0,34
502,100.0,7546.250021854775,0,34
503,100.0,7541.175861936726,0,34
504,100.0,7536.169416951289,0,34
505,100.0,7531.208970945033,0,34
506,100.0,7526.125905944664,0,34
507,100.0,7521.094064617194,0,34
508,100.0,7516.163941094614,0,34
509,100.0,7511.211535299749,0,34
510,100.0,7506.169833098069,0,20
511,100.0,7502.079508249216,0,50
512,100.0,7495.9764552051265,0,50
513,100.0,7489.910703653634,0,50
514,100.0,7483.836090261218,0,50
515,100.0,7477.843229185472,0,50
516,100.0,7471.728767982119,0,50
517,100.0,7465.642544719481,0,50
518,100.0,7459.668242261262,0,50
519,100.0,7453.724611267619,0,50
520,100.0,7447.797395435316,0,50
521,100.0,7441.913817437297,0,20
522,100.0,7437.734326361547,0,20
523,100.0,7433.5370495257475,0,20
524,100.0,7429.345482763281,0,20
525,100.0,7425.019960996644,0,20
526,100.0,7420.758693931942,0,20
527,100.0,7416.528785169192,0,20
528,100.0,7412.289736630699,0,20
529,100.0,7408.134053537917,0,20
530,100.0,7403.980646741824,0,20
531,100.0,7399.749665012738,0,20
532,100.0,7395.519529859472,0,20
533,100.0,7391.30886595029,0,20
534,100.0,7387.1622734168095,0,20
535,100.0,7382.9152280258395,0,20
536,100.0,7378.654039511102,0,20
537,100.0,7374.420693390369,0,20
538,100.0,7370.214680543581,0,20
539,100.0,7366.0001941806895,0,20
540,100.0,7361.8391405400625,0,20
541,100.0,7357.638296215732,0,50
542,100.0,7351.451495724449,0,50
543,100.0,7345.356208839539,0,50
544,100.0,7339.409289420826,0,50
545,100.0,7333.387107793407,0,50
546,100.0,7327.343088993599,0,50
547,100.0,7321.478432552752,0,50
548,100.0,7315.505816296254,0,50
549,100.0,7309.441625102371,0,50
550,100.0,7303.526851945733,0,50
551,100.0,7297.471582135834,0,20
552,100.0,7293.355356589843,0,20
553,100.0,7289.15564637166,0,20
554,100.0,7284.941089843658,0,20
555,100.0,7280.777929535218,0,20
556,100.0,7276.5816993212575,0,20
557,100.0,7272.495675923134,0,20
558,100.0,7268.199453383324,0,20
559,100.0,7264.024900136882,0,20
560,100.0,7259.838479898522,0,20
561,100.0,7255.703766110042,0,20
562,100.0,7251.4767132695615,0,20
563,100.0,7247.303595476689,0,20
564,100.0,7243.1951025324615,0,20
565,100.0,7239.0166190701,0,20
566,100.0,7234.780548319968,0,20
567,100.0,7230.5162976547435,0,20
568,100.0,7226.344304203676,0,20
569,100.0,7222.203657750549,0,20
570,100.0,7218.0780541880995,0,20
571,100.0,7213.911129056626,0,50
572,100.0,7207.88122580599,0,50
573,100.0,7201.95339107545,0,50
574,100.0,7196.101413350558,0,50
575,100.0,7190.047517951001,0,50
576,100.0,7184.130543670763,0,50
577,100.0,7178.086920378909,0,50
578,100.0,7172.073242141467,0,50
579,100.0,7166.047934174318,0,50
580,100.0,7160.139775789514,0,50
581,100.0,7154.110839573927,0,20
582,100.0,7149.843077415341,0,20
583,100.0,7145.6413743091425,0,20
584,100.0,7141.431802065932,0,20
585,100.0,7137.336070367021,0,20
586,100.0,7133.108231588584,0,20
587,100.0,7128.850060657262,0,20
588,100.0,7124.7126516099,0,20
589,100.0,7120.607022373923,0,20
590,100.0,7116.476360493287,0,20
591,100.0,7112.3185934998455,0,20
592,100.0,7108.127150002805,0,20
593,100.0,7103.958840428132,0,20
594,100.0,7099.759260384465,0,20
595,100.0,7095.498156909725,0,20
596,100.0,7091.3280655931085,0,20
597,100.0,7087.165508561793,0,20
598,100.0,7082.969064695213,0,20
599,100.0,7078.715649986392,0,20
600,100.0,7074.564315982384,0,20
601,100.0,7070.449901181845,0,50
602,100.0,7064.395249430873,0,50
603,100.0,7058.336671040502,0,50
604,100.0,7052.278965862882,0,50
605,100.0,7046.320452556187,0,50
606,100.0,7040.221952503115,0,50
607,100.0,7034.256346041788,0,50
608,100.0,7028.331432147492,0,50
609,100.0,7022.373763885191,0,50
610,100.0,7016.444743526263,0,50
