Times,OperatingNodes,DeadNodes,EnergyConsumed
1,30,0,20.2
2,30,0,21
3,30,0,21
4,30,0,21
5,30,0,21
6,30,0,21
7,30,0,21.2
8,30,0,21.2
9,30,0,21.2
10,30,0,21.2
11,30,0,21.4
12,30,0,21
13,30,0,21
14,30,0,21
15,30,0,21
16,30,0,21.2
17,30,0,21
18,30,0,21
19,30,0,21
20,30,0,21.4
21,30,0,20.6
22,30,0,21.2
23,30,0,20.6
24,30,0,21.4
25,30,0,21
26,30,0,21
27,30,0,21
28,30,0,21.4
29,30,0,20.6
30,30,0,21
31,30,0,20.8
32,30,0,20.8
33,30,0,20.8
34,30,0,20.8
35,30,0,20.8
36,30,0,20.8
37,30,0,20.8
38,30,0,20.8
39,30,0,20.8
40,30,0,21
41,30,0,20.8
42,30,0,20.8
43,30,0,20.6
44,30,0,20.6
45,30,0,20.6
46,30,0,20.6
47,30,0,20.6
48,30,0,20.8
49,30,0,20.6
50,30,0,20.6
51,30,0,20.6
52,30,0,20.6
53,30,0,20.6
54,30,0,20.6
55,30,0,20.6
56,30,0,20.6
57,30,0,20.8
58,30,0,20.6
59,30,0,20.6
60,30,0,20.6
61,30,0,20.6
62,30,0,20.6
63,30,0,20.6
64,30,0,20.6
65,30,0,20.6
66,30,0,20.6
67,30,0,20.6
68,30,0,20.6
69,30,0,20.6
70,30,0,20.6
71,30,0,20.6
72,30,0,20.6
73,30,0,20.6
74,30,0,20.6
75,30,0,20.6
76,30,0,20.6
77,30,0,20.6
78,30,0,20.6
79,30,0,20.6
80,30,0,20.6
81,30,0,20.6
82,30,0,20.6
83,30,0,20.6
84,30,0,20.6
85,30,0,20.6
86,30,0,20.6
87,30,0,20.4
88,30,0,20.6
89,30,0,20.4
90,30,0,20.4
91,30,0,20.2
92,30,0,20.2
93,30,0,20.4
94,30,0,20.2
95,30,0,20.2
96,30,0,20.2
97,30,0,20.2
98,30,0,20
99,30,0,20
100,30,0,20
101,30,0,20.4
102,30,0,20.2
103,30,0,20
104,30,0,20
105,30,0,20.4
106,30,0,20.4
107,30,0,20
108,30,0,20
109,30,0,20.4
110,30,0,20
111,30,0,20
112,30,0,20.4
113,30,0,20.4
114,30,0,20
115,30,0,20
116,30,0,20
117,30,0,20.4
118,30,0,20
119,30,0,20.2
120,30,0,20
121,30,0,20
122,30,0,19.8
123,30,0,20.2
124,30,0,20.2
125,30,0,20
126,30,0,20.2
