Times,OperatingNodes,DeadNodes,EnergyConsumed
127,30,0,20
128,30,0,20
129,30,0,19.8
130,30,0,19.8
131,30,0,20.6
132,30,0,19.8
133,30,0,20.2
134,30,0,20
135,30,0,20
136,30,0,19.8
137,30,0,20
138,30,0,20
139,30,0,20.2
140,30,0,19.8
141,30,0,20
142,30,0,20
143,30,0,20
144,30,0,20
145,30,0,20
146,30,0,20.2
147,30,0,19.8
148,30,0,20
149,30,0,20
150,29,1,19.6
151,29,1,19.2
152,28,2,18.8
153,28,2,18.8
154,28,2,18.6
155,28,2,18.8
156,28,2,18.6
157,28,2,18.8
158,28,2,18.6
159,28,2,18.6
160,28,2,18.6
161,27,3,16.4
162,27,3,12.8
163,27,3,12.8
164,27,3,12.8
165,22,8,12
166,22,8,8.8
167,22,8,8.8
168,21,9,8.8
169,19,11,7.2
170,18,12,6
171,18,12,5.6
172,18,12,5.6
173,18,12,5.6
174,18,12,5.6
175,18,12,5.6
176,18,12,5.6
177,18,12,5.6
178,18,12,5.6
179,18,12,5.6
180,18,12,5.6
181,18,12,5.6
182,18,12,5.6
183,18,12,5.6
184,18,12,5.6
185,18,12,5.6
186,18,12,5.6
187,18,12,5.6
188,18,12,5.6
189,18,12,5.6
190,18,12,5.6
191,18,12,5.6
192,18,12,5.6
193,18,12,5.6
194,18,12,5.6
195,18,12,5.6
196,18,12,5.6
197,18,12,5.6
198,18,12,5.6
199,18,12,5.6
200,18,12,5.6
201,18,12,5.6
202,18,12,5.6
203,18,12,5.6
204,18,12,5.6
205,18,12,5.6
206,18,12,5.6
207,18,12,5.6
208,18,12,5.6
209,18,12,5.6
210,18,12,5.6
211,18,12,5.6
212,18,12,5.6
213,18,12,5.6
214,18,12,5.6
215,18,12,5.6
216,18,12,5.6
217,18,12,5.6
218,18,12,5.6
219,18,12,5.6
220,18,12,5.6
221,18,12,5.6
222,18,12,5.6
223,18,12,5.6
224,18,12,5.6
225,17,13,5.2
226,17,13,4.8
227,15,15,4.4
228,15,15,3.6
229,15,15,3.2
230,14,16,2.8
231,14,16,2.8
232,14,16,2.6
233,14,16,2.6
234,14,16,2.6
235,14,16,2.6
236,14,16,2.6
237,14,16,2.6
238,14,16,2.6
239,14,16,2.6
240,14,16,2.6
241,14,16,2.6
242,14,16,2.6
243,14,16,2.6
244,14,16,2.6
245,14,16,2.6
246,14,16,2.6
247,14,16,2.6
248,14,16,2.6
249,14,16,2.6
250,14,16,2.6
251,14,16,2.6
252,14,16,2.6
253,14,16,2.6
254,13,17,2.2
255,13,17,1.6
256,13,17,1.6
257,13,17,1.6
258,13,17,1.6
259,13,17,1.6
260,13,17,1.6
261,13,17,1.6
262,13,17,1.6
263,13,17,1.6
264,13,17,1.6
265,13,17,1.6
266,13,17,1.6
267,13,17,1.6
268,13,17,1.6
269,13,17,1.6
270,13,17,1.6
271,13,17,1.6
272,13,17,1.6
273,13,17,1.6
274,13,17,1.6
275,13,17,1.6
276,13,17,1.6
277,13,17,1.6
278,13,17,1.6
279,13,17,1.6
280,13,17,1.6
281,13,17,1.6
282,13,17,1.6
283,13,17,1.6
284,13,17,3.2
285,13,17,3.2
286,13,17,3.2
287,12,18,3.2
288,12,18,2.8
289,12,18,2.8
290,12,18,2.8
291,12,18,2.8
292,12,18,2.8
293,12,18,2.8
294,12,18,2.8
295,12,18,2.8
296,12,18,2.8
297,12,18,2.8
298,12,18,2.8
299,12,18,2.8
300,12,18,2.8
301,12,18,2.8
302,12,18,2.8
303,12,18,2.8
304,12,18,2.8
305,12,18,2.8
306,12,18,2.8
307,12,18,2.8
308,12,18,2.8
309,12,18,2.8
310,12,18,2.8
311,12,18,2.8
312,12,18,2.8
313,12,18,2.8
314,12,18,2.8
315,12,18,2.8
316,12,18,2.8
317,12,18,2.8
318,12,18,2.8
319,12,18,2.8
320,12,18,2.8
321,12,18,2.8
322,12,18,2.8
323,12,18,2.8
324,12,18,2.8
325,12,18,2.8
326,12,18,2.8
327,12,18,2.8
328,12,18,2.8
329,12,18,2.8
330,12,18,2.8
331,12,18,2.8
332,12,18,2.8
333,12,18,2.8
334,12,18,2.8
335,12,18,2.8
336,12,18,2.8
337,11,19,2.8
338,11,19,2.4
339,11,19,2.4
340,11,19,2.4
341,11,19,2.4
342,11,19,2.4
343,11,19,2.4
344,11,19,2.4
345,11,19,2.4
346,11,19,2.4
347,11,19,2.4
348,11,19,2.4
349,11,19,2.4
350,11,19,2.4
351,11,19,2.4
352,11,19,2.4
353,11,19,2.4
354,11,19,2.4
355,11,19,2.4
356,11,19,2.4
357,11,19,2.4
358,11,19,2.4
359,10,20,2.4
360,9,21,2
361,9,21,0.8
362,9,21,1.4
363,9,21,1.4
364,9,21,1.4
365,9,21,1.4
366,9,21,1.4
367,9,21,1.4
368,9,21,1.4
369,9,21,1.4
370,9,21,1.4
371,9,21,1.4
372,9,21,1.4
373,9,21,1.4
374,9,21,1.4
375,9,21,1.4
376,9,21,1.4
377,9,21,1.4
378,9,21,1.4
379,9,21,1.4
380,9,21,1.4
381,9,21,1.4
382,9,21,1.4
383,9,21,1.4
384,9,21,1.4
385,9,21,1.4
386,9,21,1.4
387,9,21,1.4
388,9,21,1.4
389,9,21,1.4
390,9,21,1.4
391,9,21,1.4
392,9,21,1.4
393,9,21,1.4
394,9,21,1.4
395,9,21,1.4
396,9,21,1.4
397,9,21,1.4
398,9,21,1.4
399,9,21,1.4
400,9,21,1.4
401,9,21,1.4
402,9,21,1.4
403,9,21,1.4
404,9,21,1.4
405,9,21,0.8
406,9,21,1.4
407,9,21,1.4
408,9,21,1.4
409,9,21,1.4
410,9,21,1.4
411,9,21,1.4
412,9,21,1.4
413,9,21,1.4
414,9,21,1.4
415,9,21,1.4
416,9,21,1.4
417,9,21,1.4
418,9,21,1.4
419,9,21,1.4
420,9,21,1.4
421,9,21,1.4
422,9,21,1.4
423,8,22,1.4
424,8,22,0.4
425,8,22,0.4
426,8,22,0.4
427,8,22,0.4
428,8,22,0.4
429,8,22,0.4
430,8,22,0.4
431,8,22,0.4
432,8,22,0.4
433,8,22,0.4
434,8,22,0.4
435,8,22,0.4
436,8,22,0
437,8,22,1.2
438,8,22,1.4
439,8,22,1.4
440,8,22,1.4
441,8,22,1.4
442,8,22,1.4
443,8,22,1.4
444,8,22,1.4
445,8,22,1.4
446,8,22,1.4
447,8,22,1.4
448,8,22,1.4
449,8,22,1.4
450,8,22,1.4
451,8,22,1.4
452,7,23,1.4
453,7,23,0.4
454,7,23,0.4
455,7,23,0.4
456,7,23,0.4
457,7,23,0.4
458,7,23,0.4
459,7,23,0.4
460,7,23,0.4
461,7,23,0.4
462,7,23,0.4
463,7,23,0.4
464,7,23,0.4
465,7,23,0.4
466,7,23,0
467,7,23,1.2
468,7,23,0.4
469,7,23,0.4
470,7,23,0.4
471,7,23,0.4
472,7,23,0.4
473,7,23,0.4
474,7,23,0.4
475,7,23,0.4
476,7,23,0.4
477,7,23,0.4
478,7,23,0.4
479,7,23,0.4
480,7,23,0.4
481,7,23,0.4
482,7,23,0.4
483,7,23,0.4
484,7,23,0.4
485,7,23,0.4
486,7,23,0.4
487,7,23,0.4
488,7,23,0.4
489,7,23,0.4
490,7,23,0.4
491,7,23,0.4
492,7,23,0
493,7,23,0.4
494,7,23,0.4
495,7,23,0.4
496,7,23,0.4
497,7,23,0.4
498,7,23,0.4
499,7,23,0.4
500,7,23,0.4
501,7,23,0.4
502,7,23,0.4
503,7,23,0.4
504,7,23,0.4
505,7,23,0.4
506,7,23,0.4
507,7,23,0.4
508,7,23,0
509,7,23,0.4
510,7,23,0.4
511,7,23,0.4
512,7,23,0.4
513,7,23,0.4
514,7,23,0.4
515,7,23,0.4
516,7,23,0.4
517,7,23,0.4
518,7,23,0.4
519,7,23,0.4
520,7,23,0.4
521,7,23,0.4
522,7,23,0.4
523,7,23,0.4
524,7,23,0
525,7,23,1
526,7,23,1
527,7,23,1
528,7,23,1
529,7,23,1
530,7,23,1
531,7,23,1
532,7,23,1
533,7,23,0.4
534,7,23,0.4
535,7,23,0.4
536,7,23,0.4
537,7,23,0.4
538,7,23,0.4
539,7,23,0.4
540,7,23,0.4
541,7,23,0.4
542,7,23,0.4
543,7,23,0.4
544,7,23,0.4
545,7,23,0
546,7,23,1
547,7,23,1
548,7,23,1
549,7,23,1
550,7,23,1
551,7,23,1
552,7,23,1
553,7,23,0.4
554,7,23,0.4
555,7,23,0.4
556,7,23,0.4
557,7,23,0.4
558,7,23,0.4
559,7,23,0.4
560,7,23,0
561,7,23,0.4
562,7,23,0.4
563,7,23,0.4
564,7,23,0.4
565,7,23,0.4
566,7,23,0.4
567,7,23,0
568,7,23,1
569,7,23,1
570,7,23,1
571,7,23,0.4
572,7,23,0.4
573,7,23,0.4
574,7,23,0.4
575,7,23,0.4
576,7,23,0
577,6,24,1
578,6,24,0.4
579,6,24,0.4
580,6,24,0
581,6,24,0.4
582,6,24,0.4
583,6,24,0.4
584,6,24,0
585,6,24,0.4
586,6,24,0.4
587,6,24,0
588,6,24,1
589,6,24,0.4
590,6,24,0.4
591,5,25,0.4
592,5,25,0
593,5,25,0.4
594,5,25,0
595,3,27,1
596,3,27,0
597,2,28,0.4
598,2,28,0
599,1,29,0.4
600,1,29,0
601,0,30,0.4
