Time,Live_Node_Percentage,Total_Energy,Packets_Received,Active_Nodes
0,100.0,4501.470757557543,0,30
1,100.0,4498.57121279699,0,30
2,100.0,4495.510669434035,0,30
3,100.0,4492.591097359834,0,30
4,100.0,4489.648040440019,0,30
5,100.0,4486.6310263586565,0,30
6,100.0,4483.647869105947,0,30
7,100.0,4480.72525502016,0,30
8,100.0,4477.693935401006,0,30
9,100.0,4474.665945385104,0,30
10,100.0,4471.646027775402,0,12
11,100.0,4469.6409466708055,0,12
12,100.0,4467.557541309925,0,12
13,100.0,4465.483015525317,0,12
14,100.0,4463.398092993032,0,12
15,100.0,4461.266956794069,0,12
16,100.0,4459.189199152615,0,12
17,100.0,4457.097847995799,0,12
18,100.0,4454.978955371525,0,12
19,100.0,4452.861884192017,0,12
20,100.0,4450.720942651374,0,12
21,100.0,4448.691020804683,0,12
22,100.0,4446.60078035246,0,12
23,100.0,4444.518019462257,0,12
24,100.0,4442.474906531889,0,12
25,100.0,4440.344490967418,0,12
26,100.0,4438.230740723617,0,12
27,100.0,4436.077869260385,0,12
28,100.0,4433.955304866306,0,12
29,100.0,4431.8836831675135,0,12
30,100.0,4429.763642585613,0,12
31,100.0,4427.64912124937,0,30
32,100.0,4424.61169058109,0,30
33,100.0,4421.573453266964,0,30
34,100.0,4418.646879636764,0,30
35,100.0,4415.621667732323,0,30
36,100.0,4412.722905538826,0,30
37,100.0,4409.77516173947,0,30
38,100.0,4406.809986517888,0,30
39,100.0,4403.761527283508,0,30
40,100.0,4400.696284152416,0,30
41,100.0,4397.76020566891,0,12
42,100.0,4395.657288512415,0,12
43,100.0,4393.532166488866,0,12
44,100.0,4391.451093920947,0,12
45,100.0,4389.335729084055,0,12
46,100.0,4387.156613477272,0,12
47,100.0,4385.02212347905,0,12
48,100.0,4382.93778806576,0,12
49,100.0,4380.81719794919,0,12
50,100.0,4378.706161367499,0,12
51,100.0,4376.555582923513,0,12
52,100.0,4374.443857437548,0,12
53,100.0,4372.364500130558,0,12
54,100.0,4370.210654612748,0,12
55,100.0,4368.124459351551,0,12
56,100.0,4366.017386112924,0,12
57,100.0,4363.927529867962,0,12
58,100.0,4361.766592537044,0,12
59,100.0,4359.732710986432,0,12
60,100.0,4357.598129572781,0,12
61,100.0,4355.47545341939,0,30
62,100.0,4352.502175621315,0,30
63,100.0,4349.464787932302,0,30
64,100.0,4346.499149700833,0,30
65,100.0,4343.416399000462,0,30
66,100.0,4340.458356762688,0,30
67,100.0,4337.415045535792,0,30
68,100.0,4334.3359026157905,0,30
69,100.0,4331.331726803244,0,30
70,100.0,4328.337428857586,0,30
71,100.0,4325.309941891271,0,12
72,100.0,4323.202670413609,0,12
73,100.0,4321.1263838652085,0,12
74,100.0,4319.031425996352,0,12
75,100.0,4316.996095806411,0,12
76,100.0,4314.952368477625,0,12
77,100.0,4312.84459935663,0,12
78,100.0,4310.752260483027,0,12
79,100.0,4308.663523931865,0,12
80,100.0,4306.5051481820565,0,12
81,100.0,4304.389724673179,0,12
82,100.0,4302.286739181106,0,12
83,100.0,4300.153529915257,0,12
84,100.0,4298.07243365441,0,12
85,100.0,4295.970464081875,0,12
86,100.0,4293.837871063183,0,12
87,100.0,4291.74011877426,0,12
88,100.0,4289.617006283593,0,12
89,100.0,4287.509702782612,0,12
90,100.0,4285.411859012518,0,12
91,100.0,4283.317210640229,0,30
92,100.0,4280.294398347249,0,30
93,100.0,4277.344094317414,0,30
94,100.0,4274.291538387175,0,30
95,100.0,4271.27037800413,0,30
96,100.0,4268.187099909203,0,30
97,100.0,4265.121936795086,0,30
98,100.0,4262.103511183053,0,30
99,100.0,4259.106285114953,0,30
100,100.0,4256.159530627736,0,30
101,100.0,4253.117599965696,0,12
102,100.0,4251.004348948637,0,12
103,100.0,4248.950091773931,0,12
104,100.0,4246.892419505539,0,12
105,100.0,4244.780154406919,0,12
