Time,Live_Node_Percentage,Total_Energy,Packets_Received,Active_Nodes
0,100.0,29894.923670525677,0,100
1,100.0,29879.85166884049,0,100
2,100.0,29864.80618014741,0,100
3,100.0,29849.656775702024,0,100
4,100.0,29834.61899119998,0,100
5,100.0,29819.811727534543,0,100
6,100.0,29804.848512338755,0,100
7,100.0,29789.792772002533,0,100
8,100.0,29774.654685674977,0,100
9,100.0,29759.937340886245,0,100
10,100.0,29745.00812326797,0,40
11,100.0,29734.045635540406,0,40
12,100.0,29723.495748793284,0,40
13,100.0,29712.666499866777,0,40
14,100.0,29701.978629541616,0,40
15,100.0,29690.99625397876,0,40
16,100.0,29680.113768177427,0,40
17,100.0,29669.390042500276,0,40
18,100.0,29658.583677938917,0,40
19,100.0,29647.844156926858,0,40
20,100.0,29637.00949555032,0,40
21,100.0,29626.294086682494,0,40
22,100.0,29615.53644814781,0,40
23,100.0,29604.78900979219,0,40
24,100.0,29593.841332315627,0,40
25,100.0,29583.047458358797,0,40
26,100.0,29572.090857002317,0,40
27,100.0,29561.09777427485,0,40
28,100.0,29550.366415388748,0,40
29,100.0,29539.665551628757,0,40
30,100.0,29528.86082951199,0,40
31,100.0,29518.02715482938,0,100
32,100.0,29503.021814126638,0,100
33,100.0,29488.174573028766,0,100
34,100.0,29473.071072878985,0,100
35,100.0,29458.078116264984,0,100
36,100.0,29443.019815553707,0,100
37,100.0,29427.854323022788,0,100
38,100.0,29412.768568056374,0,100
39,100.0,29397.967078077607,0,100
40,100.0,29382.959148942497,0,100
41,100.0,29368.13908729171,0,40
42,100.0,29357.469909023774,0,40
43,100.0,29346.831392141496,0,40
44,100.0,29335.953087084254,0,40
45,100.0,29325.081325142575,0,40
46,100.0,29314.39238812732,0,40
47,100.0,29303.568346448872,0,40
48,100.0,29292.67710331871,0,40
49,100.0,29281.789095581036,0,40
50,100.0,29270.93857839292,0,40
51,100.0,29260.133615094073,0,40
52,100.0,29249.452255290842,0,40
53,100.0,29238.58352077273,0,40
54,100.0,29227.59096508176,0,40
55,100.0,29216.735020168664,0,40
56,100.0,29205.838540622994,0,40
57,100.0,29195.113753834034,0,40
58,100.0,29184.13989556684,0,40
59,100.0,29173.359110175596,0,40
60,100.0,29162.545705317996,0,40
61,100.0,29151.616398823448,0,100
62,100.0,29136.442424366836,0,100
63,100.0,29121.339202284566,0,100
64,100.0,29106.28434402215,0,100
65,100.0,29091.132475582905,0,100
66,100.0,29076.11906800279,0,100
67,100.0,29061.03127035357,0,100
68,100.0,29045.99833228335,0,100
69,100.0,29030.89350106377,0,100
70,100.0,29015.88259987965,0,100
71,100.0,29000.906853215773,0,40
72,100.0,28990.27137537266,0,40
73,100.0,28979.519523850046,0,40
74,100.0,28968.77308827233,0,40
75,100.0,28958.09129456657,0,40
76,100.0,28947.25837470956,0,40
77,100.0,28936.5123044153,0,40
78,100.0,28925.780381306653,0,40
79,100.0,28915.0276143174,0,40
80,100.0,28904.118506356484,0,40
81,100.0,28893.32496966086,0,40
82,100.0,28882.583886245913,0,40
83,100.0,28871.742664040707,0,40
84,100.0,28861.07233507827,0,40
85,100.0,28850.26232321632,0,40
86,100.0,28839.478461582323,0,40
87,100.0,28828.666341588898,0,40
88,100.0,28817.89894625779,0,40
89,100.0,28807.06431382177,0,40
90,100.0,28796.12725232817,0,40
91,100.0,28785.25599792168,0,100
92,100.0,28770.328731320973,0,100
93,100.0,28755.371110582197,0,100
94,100.0,28740.52946409212,0,100
95,100.0,28725.598457712942,0,100
96,100.0,28710.597574466407,0,100
97,100.0,28695.38731967901,0,100
98,100.0,28680.509780769637,0,100
99,100.0,28665.521250993428,0,100
100,100.0,28650.42623885389,0,100
101,100.0,28635.45502185697,0,40
102,100.0,28624.678078411616,0,40
103,100.0,28613.883842576743,0,40
104,100.0,28603.004971303122,0,40
105,100.0,28592.16511840793,0,40
106,100.0,28581.539153359143,0,40
107,100.0,28571.03954803073,0,40
108,100.0,28560.281440542585,0,40
109,100.0,28549.572531130976,0,40
110,100.0,28538.921107701568,0,40
111,100.0,28528.130108483092,0,40
112,100.0,28517.41014278151,0,40
113,100.0,28506.706004509204,0,40
114,100.0,28495.918427596785,0,40
115,100.0,28485.060955592693,0,40
116,100.0,28474.24040992506,0,40
117,100.0,28463.22289115546,0,40
118,100.0,28452.356468098405,0,40
119,100.0,28441.446452347223,0,40
120,100.0,28430.63028448881,0,40
121,100.0,28419.797612379472,0,100
122,100.0,28404.848505210815,0,100
123,100.0,28390.023924203488,0,100
124,100.0,28375.140021034786,0,100
125,100.0,28359.88307795605,0,100
126,100.0,28344.652947418286,0,100
127,100.0,28329.63347652707,0,100
